iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"1,76","1,76","0,03"
2,"3,50","1,74","0,03"
3,"5,24","1,74","0,03"
4,"6,98","1,74","0,03"
5,"8,71","1,73","0,03"
6,"10,42","1,71","0,03"
7,"12,13","1,71","0,03"
8,"13,84","1,71","0,03"
9,"15,56","1,72","0,03"
10,"17,28","1,72","0,03"
11,"18,99","1,71","0,03"
12,"20,71","1,72","0,03"
13,"22,43","1,72","0,03"
14,"24,15","1,72","0,03"
15,"25,87","1,72","0,03"
16,"27,58","1,71","0,03"
17,"29,30","1,72","0,03"
18,"31,02","1,72","0,03"
19,"32,74","1,72","0,03"
20,"34,46","1,72","0,03"
21,"36,18","1,72","0,03"
22,"37,90","1,72","0,03"
23,"39,61","1,71","0,03"
24,"41,33","1,72","0,03"
25,"43,06","1,73","0,03"
26,"44,78","1,72","0,03"
27,"46,50","1,72","0,03"
28,"48,22","1,72","0,03"
29,"49,94","1,72","0,03"
30,"51,65","1,71","0,03"
