iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"3,78","3,78","0,06"
2,"7,56","3,78","0,06"
3,"11,32","3,76","0,06"
4,"15,08","3,76","0,06"
5,"18,86","3,78","0,06"
6,"22,63","3,77","0,06"
7,"26,44","3,81","0,06"
8,"30,20","3,76","0,06"
9,"34,01","3,81","0,06"
10,"37,79","3,78","0,06"
11,"41,58","3,79","0,06"
12,"45,35","3,77","0,06"
13,"49,13","3,78","0,06"
14,"52,90","3,77","0,06"
15,"56,66","3,76","0,06"
16,"60,44","3,78","0,06"
17,"64,26","3,82","0,06"
18,"68,08","3,82","0,06"
19,"71,84","3,76","0,06"
20,"75,60","3,76","0,06"
21,"79,37","3,77","0,06"
22,"83,16","3,79","0,06"
23,"86,94","3,78","0,06"
24,"90,72","3,78","0,06"
25,"94,49","3,77","0,06"
26,"98,27","3,78","0,06"
27,"102,04","3,77","0,06"
28,"105,80","3,76","0,06"
29,"109,58","3,78","0,06"
30,"113,36","3,78","0,06"
,"58,57","3,78","0,06"
