1GB,,,,10GB,,
,,,,,,
Consulta,Media do Tempo (segundos) – Sem otimização,Media do Tempo (segundos) – Depois da Otimização,Percentual de Ganho ou perda,Media do Tempo (segundos) – Sem otimização,Media do Tempo (segundos) – Depois da Otimização,Percentual de Ganho ou perda
1,"13,8300","13,5657","-1,91%","138,5893","135,0000","-0,0259"
2,"0,1060","0,1050","-0,94%","138,4093","1,3680","-0,9901"
3,"4,4657","1,1135","-75,06%","57,5490","89,5033","0,5553"
4,"0,5800","0,5827","0,46%","12,9313","7,3050","-0,4351"
5,"2,7257","0,8626","-68,35%","37,3220","11,4407","-0,6935"
6,"2,0800","1,7807","-14,39%","21,3700","20,2969","-0,0502"
7,"1,7817","0,7714","-56,70%","21,0213","9,0770","-0,5682"
8,"6,5713","2,3937","-63,57%","21,8473","30,7483","0,4074"
9,"7,5917","1,6473","-78,30%","269,6007","377,4610","0,4001"
10,"1,7620","1,1520","-34,62%","21,8473","14,1997","-0,3501"
11,"0,4513","0,1237","-72,60%","4,9117","1,9287","-0,6073"
12,"3,0150","2,5993","-13,79%","34,8333","132,0593","2,7912"
13,"1,5150","2,8777","89,94%","34,8333","35,5354","0,0202"
14,"1,5233","1,7743","16,48%","31,4677","105,8877","2,3650"
15,"4,4237","3,7787","-14,58%","46,2940","39,0483","-0,1565"
16,"0,5923","0,3150","-46,82%","5,7837","3,6267","-0,3729"
17,"1,2233","0,2660","-78,26%","11,8670","2,3441","-0,8025"
18,"3,0090","2,6623","-11,52%","33,1013","129,4600","2,9110"
19,"0,3039","0,1720","-43,40%","3,8523","2,2840","-0,4071"
20,"0,8100","0,2207","-72,76%","11,1193","6,9877","-0,3716"
21,"0,8100","5,1990","541,85%","78,8357","151,2680","0,9188"
22,"0,2087","0,1633","-21,73%","2,1620","1,7600","-0,1859"
