Iteraè´Æè´™o,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"138,45","138,45","2,31"
2,"277,03","138,58","2,31"
3,"415,54","138,51","2,31"
4,"554,01","138,47","2,31"
5,"692,57","138,56","2,31"
6,"831,18","138,61","2,31"
7,"969,78","138,60","2,31"
8,"1.108,32","138,54","2,31"
9,"1.246,98","138,66","2,31"
10,"1.385,55","138,57","2,31"
11,"1.524,24","138,69","2,31"
12,"1.662,76","138,52","2,31"
13,"1.801,35","138,59","2,31"
14,"1.939,96","138,61","2,31"
15,"2.078,59","138,63","2,31"
16,"2.217,34","138,75","2,31"
17,"2.355,86","138,52","2,31"
18,"2.494,44","138,58","2,31"
19,"2.633,06","138,62","2,31"
20,"2.771,71","138,65","2,31"
21,"2.910,31","138,60","2,31"
22,"3.048,89","138,58","2,31"
23,"3.187,48","138,59","2,31"
24,"3.326,09","138,61","2,31"
25,"3.464,60","138,51","2,31"
26,"3.603,12","138,52","2,31"
27,"3.741,71","138,59","2,31"
28,"3.880,45","138,74","2,31"
29,"4.018,96","138,51","2,31"
30,"4.157,68","138,72","2,31"
