Consulta,Tempo Acumulado (segundos,Tempo Absoluto (s,Tempo Absoluto (Minutos
1,"135,66","135,66","2,26"
2,"169,14","33,48","0,56"
3,"203,13","33,99","0,57"
4,"236,35","33,22","0,55"
5,"269,57","33,22","0,55"
6,"302,54","32,97","0,55"
7,"335,30","32,76","0,55"
8,"369,32","34,02","0,57"
9,"403,03","33,71","0,56"
10,"436,17","33,14","0,55"
11,"470,46","34,29","0,57"
12,"504,11","33,65","0,56"
13,"537,18","33,07","0,55"
14,"569,98","32,80","0,55"
15,"603,52","33,54","0,56"
16,"639,41","35,89","0,60"
17,"672,30","32,89","0,55"
18,"707,09","34,79","0,58"
19,"741,31","34,22","0,57"
20,"775,63","34,32","0,57"
21,"809,96","34,33","0,57"
22,"844,21","34,25","0,57"
23,"878,40","34,19","0,57"
24,"912,36","33,96","0,57"
25,"945,99","33,63","0,56"
26,"980,25","34,26","0,57"
27,"1.013,63","33,38","0,56"
28,"1.049,10","35,47","0,59"
29,"1.085,10","36,00","0,60"
30,"1.119,66","34,56","0,58"
