Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"11,46","11,46","0,19"
2,"21,44","9,98","1,60"
3,"32,11","10,67","0,08"
4,"43,13","11,02","0,08"
5,"54,36","11,23","0,08"
6,"66,91","12,55","0,08"
7,"79,57","12,66","0,08"
8,"92,11","12,54","0,08"
9,"104,65","12,54","0,08"
10,"117,30","12,65","0,08"
11,"129,91","12,61","0,08"
12,"142,29","12,38","0,08"
13,"154,70","12,41","0,08"
14,"167,39","12,69","0,08"
15,"178,26","10,87","0,08"
16,"188,57","10,31","0,08"
17,"198,73","10,16","0,08"
18,"208,91","10,18","0,08"
19,"219,75","10,84","0,08"
20,"230,79","11,04","0,08"
21,"241,89","11,10","0,08"
22,"253,70","11,81","0,08"
23,"266,09","12,39","0,08"
24,"278,55","12,46","0,08"
25,"291,34","12,79","0,08"
26,"304,15","12,81","0,08"
27,"317,33","13,18","0,09"
28,"330,28","12,95","0,09"
29,"343,27","12,99","0,08"
30,"356,01","12,74","0,08"
