Consulta,Tempo Acumulado (segundos),Tempo Absoluto (segundo),Tempo Absoluto (minutos)
1,"281,54","281,54","4,69"
2,"331,36","49,82","0,83"
3,"380,80","49,44","0,82"
4,"430,26","49,46","0,82"
5,"479,73","49,47","0,82"
6,"529,23","49,50","0,83"
7,"578,68","49,45","0,82"
8,"628,11","49,43","0,82"
9,"677,57","49,46","0,82"
10,"727,02","49,45","0,82"
11,"776,55","49,53","0,83"
12,"826,05","49,50","0,83"
13,"875,51","49,46","0,82"
14,"924,97","49,46","0,82"
15,"974,31","49,34","0,82"
16,"1.024,79","50,48","0,84"
17,"1.075,29","50,50","0,84"
18,"1.125,85","50,56","0,84"
19,"1.176,43","50,58","0,84"
20,"1.226,48","50,05","0,83"
21,"1.277,05","50,57","0,84"
22,"1.327,10","50,05","0,83"
23,"1.377,14","50,04","0,83"
24,"1.427,73","50,59","0,84"
25,"1.477,14","49,41","0,82"
26,"1.527,73","50,59","0,84"
27,"1.577,48","49,75","0,83"
28,"1.627,57","50,09","0,83"
29,"1.676,96","49,39","0,82"
30,"1.726,47","49,51","0,83"
