Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"403,52","403,52","6,73"
2,"729,14","325,62","5,43"
3,"999,14","270,00","4,50"
4,"1280,56","281,42","4,69"
5,"1567,84","287,28","4,79"
6,"1831,66","263,82","4,40"
7,"2111,02","279,36","4,66"
8,"2383,47","272,45","4,54"
9,"2652,57","269,10","4,49"
10,"2923,01","270,44","4,51"
11,"3199,94","276,93","4,62"
12,"3472,93","272,99","4,55"
13,"3747,98","275,05","4,58"
14,"4016,83","268,85","4,48"
15,"4289,50","272,67","4,54"
16,"4558,51","269,01","4,48"
17,"4831,98","273,47","4,56"
18,"5104,69","272,71","4,55"
19,"5381,11","276,42","4,61"
20,"5655,89","274,78","4,58"
21,"5931,12","275,23","4,59"
22,"6204,82","273,70","4,56"
23,"6480,14","275,32","4,59"
24,"6752,25","272,11","4,54"
25,"6936,28","184,03","3,07"
26,"7087,70","151,42","2,52"
27,"7278,93","191,23","3,19"
28,"7545,90","266,97","4,45"
29,"7808,98","263,08","4,38"
30,"8088,02","279,04","4,65"
