Consulta,Tempo Acumulado (segundos),Tempo Absoluto (segundo),Tempo Absoluto (minutos)
1,"105,59","105,59","1,76"
2,"115,85","10,26","0,17"
3,"125,57","9,72","0,16"
4,"135,32","9,75","0,16"
5,"144,99","9,67","0,16"
6,"154,70","9,71","0,16"
7,"164,61","9,91","0,17"
8,"174,33","9,72","0,16"
9,"184,09","9,76","0,16"
10,"193,75","9,66","0,16"
11,"203,43","9,68","0,16"
12,"213,12","9,69","0,16"
13,"222,81","9,69","0,16"
14,"232,58","9,77","0,16"
15,"242,43","9,85","0,16"
16,"252,01","9,58","0,16"
17,"261,69","9,68","0,16"
18,"271,41","9,72","0,16"
19,"281,19","9,78","0,16"
20,"290,76","9,57","0,16"
21,"300,33","9,57","0,16"
22,"309,91","9,58","0,16"
23,"319,46","9,55","0,16"
24,"329,09","9,63","0,16"
25,"338,93","9,84","0,16"
26,"348,79","9,86","0,16"
27,"358,67","9,88","0,16"
28,"368,43","9,76","0,16"
29,"378,18","9,75","0,16"
30,"387,94","9,76","0,16"
