Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"121,52","121,52","2,03"
2,"208,44","86,92","1,45"
3,"285,70","77,26","1,29"
4,"362,95","77,25","1,29"
5,"439,97","77,02","1,28"
6,"517,47","77,50","1,29"
7,"595,02","77,55","1,29"
8,"674,40","79,38","1,32"
9,"753,94","79,54","1,33"
10,"835,26","81,32","1,36"
11,"913,64","78,38","1,31"
12,"993,25","79,61","1,33"
13,"1.072,68","79,43","1,32"
14,"1.152,36","79,68","1,33"
15,"1.231,49","79,13","1,32"
16,"1.309,75","78,26","1,30"
17,"1.387,28","77,53","1,29"
18,"1.462,42","75,14","1,25"
19,"1.536,69","74,27","1,24"
20,"1.610,94","74,25","1,24"
21,"1.685,89","74,95","1,25"
22,"1.760,58","74,69","1,24"
23,"1.835,97","75,39","1,26"
24,"1.910,72","74,75","1,25"
25,"1.986,27","75,55","1,26"
26,"2.065,82","79,55","1,33"
27,"2.140,59","74,77","1,25"
28,"2.215,14","74,55","1,24"
29,"2.291,02","75,88","1,26"
30,"2.365,07","74,05","1,23"
