Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"09,20","09,20","00,15"
2,"11,13","01,93","00,03"
3,"13,06","01,93","00,03"
4,"14,98","01,92","00,03"
5,"16,87","01,89","00,03"
6,"18,78","01,91","00,03"
7,"20,68","01,90","00,03"
8,"22,58","01,90","00,03"
9,"24,49","01,91","00,03"
10,"26,40","01,91","00,03"
11,"28,33","01,93","00,03"
12,"30,24","01,91","00,03"
13,"32,16","01,92","00,03"
14,"34,12","01,96","00,03"
15,"36,08","01,96","00,03"
16,"38,01","01,93","00,03"
17,"39,94","01,93","00,03"
18,"41,84","01,90","00,03"
19,"43,78","01,94","00,03"
20,"45,69","01,91","00,03"
21,"47,60","01,91","00,03"
22,"49,53","01,93","00,03"
23,"51,41","01,88","00,03"
24,"53,31","01,90","00,03"
25,"55,24","01,93","00,03"
26,"57,15","01,91","00,03"
27,"59,04","01,89","00,03"
28,"60,95","01,91","00,03"
29,"62,89","01,94","00,03"
30,"64,86","01,97","00,03"
