Consulta,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"89,28","89,28","1,49"
2,"129,61","40,33","1,60"
3,"158,70","29,09","0,08"
4,"187,54","28,84","0,08"
5,"216,92","29,38","0,08"
6,"245,86","28,94","0,08"
7,"275,25","29,39","0,08"
8,"304,33","29,08","0,08"
9,"333,20","28,87","0,08"
10,"362,17","28,97","0,08"
11,"390,95","28,78","0,08"
12,"420,01","29,06","0,08"
13,"449,48","29,47","0,08"
14,"478,69","29,21","0,08"
15,"507,66","28,97","0,08"
16,"536,87","29,21","0,08"
17,"565,98","29,11","0,08"
18,"594,93","28,95","0,08"
19,"623,93","29,00","0,08"
20,"652,88","28,95","0,08"
21,"681,60","28,72","0,08"
22,"710,47","28,87","0,08"
23,"739,25","28,78","0,08"
24,"768,37","29,12","0,08"
25,"797,91","29,54","0,08"
26,"827,21","29,30","0,08"
27,"856,41","29,20","0,09"
28,"885,39","28,98","0,09"
29,"914,40","29,01","0,08"
30,"944,03","29,63","0,08"
