iteração,Tempo Acumulado (segundos),Tempo Absoluto (s),Tempo Absoluto (minutos)
1,"102,95","102,95","1,72"
2,"273,95","171,00","2,85"
3,"388,23","114,28","1,90"
4,"536,17","147,94","2,47"
5,"649,69","113,52","1,89"
6,"797,13","147,44","2,46"
7,"909,73","112,60","1,88"
8,"1.056,12","146,39","2,44"
9,"1.168,28","112,16","1,87"
10,"1.315,01","146,73","2,45"
11,"1.426,01","111,00","1,85"
12,"1.571,24","145,23","2,42"
13,"1.682,50","111,26","1,85"
14,"1.826,99","144,49","2,41"
15,"1.937,94","110,95","1,85"
16,"2.081,49","143,55","2,39"
17,"2.194,17","112,68","1,88"
18,"2.339,31","145,14","2,42"
19,"2.452,16","112,85","1,88"
20,"2.596,94","144,78","2,41"
21,"2.708,59","111,65","1,86"
22,"2.853,49","144,90","2,42"
23,"2.964,11","110,62","1,84"
24,"3.110,41","146,30","2,44"
25,"3.221,81","111,40","1,86"
26,"3.367,12","145,31","2,42"
27,"3.479,52","112,40","1,87"
28,"3.627,10","147,58","2,46"
29,"3.737,91","110,81","1,85"
30,"3.883,80","145,89","2,43"
