Consulta,Tempo Acumulado
1,2min18.45 sec
2,4min37.03 sec
3,6min55.54 sec
4,9min14.01 sec
5,11min32.57 sec
6,13min51.18 sec
7,16min9.78 sec
8,18min28.32 sec
9,20min46.98 sec
10,23min5.55 sec
11,25min24.24 sec
12,27min42.76 sec
13,30min1.35 sec
14,32min19.96 sec
15,34min38.59 sec
16,36min57.34 sec
17,39min15.86 sec
18,41min34.44 sec
19,43min53.06 sec
20,46min11.71 sec
21,48min30.31 sec
22,50min48.89 sec
23,53min7.48 sec
24,55min26.09 sec
25,57min44.60 sec
26,1 h 3.12 sec
27,1 h 2min21.71 sec
28,1 h 4min40.45 sec
29,1 h 6min58.96 sec
30,1 h 9min17.68 sec
